ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037321	Tap1	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000024339	Tap2	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000048231	H2-M10.4	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000037537	H2-M11	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000024459	H2-M5	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000024308	Tapbp	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000061232	H2-K1	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000073411	H2-D1	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000079507	H2-Q1	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000091705	H2-Q2	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000073409	H2-Q6	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000060550	H2-Q7	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000067235	H2-Q10	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000016283	H2-M2	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000056116	H2-T22	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000023083	H2-M10.2	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000024448	H2-M10.1	GO:0046979	TAP2 binding	TAP2_binding
ENSMUSG00000037130	H2-M10.6	GO:0046979	TAP2 binding	TAP2_binding
