ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031340	Gabre	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000031343	Gabra3	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000001260	Gabrg1	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000000560	Gabra2	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000029211	Gabra4	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000020436	Gabrg2	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000010803	Gabra1	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000020428	Gabra6	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000007653	Gabrb2	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000055026	Gabrg3	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
ENSMUSG00000055078	Gabra5	GO:0005237	inhibitory extracellular ligand-gated ion channel activity	inhibitory_extracellular_ligand-gated_ion_channel_activity
