ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000054005	Mill1	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000040987	Mill2	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000091618	H60c	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000058124	H2-M10.3	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000048231	H2-M10.4	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000037537	H2-M11	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000000248	Clec2g	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000030157	Clec2d	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000079685	Ulbp1	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000053219	Raet1e	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000075297	H60b	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000078452	Raet1d	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000024459	H2-M5	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000061232	H2-K1	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000073411	H2-D1	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000079507	H2-Q1	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000091705	H2-Q2	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000035929	H2-Q4	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000073409	H2-Q6	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000060550	H2-Q7	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000067235	H2-Q10	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000016283	H2-M2	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000067212	H2-T23	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000056116	H2-T22	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000023083	H2-M10.2	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000024448	H2-M10.1	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000067201	H2-M9	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000037334	H2-M1	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000037246	H2-M10.5	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000037130	H2-M10.6	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000030364	Clec2h	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000030365	Clec2i	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
ENSMUSG00000004266	Ptpn6	GO:0046703	natural killer cell lectin-like receptor binding	natural_killer_cell_lectin-like_receptor_binding
